type_of_images,algorithm,numFeatures,width,height,distance,run_num,run_time,temperature,rvecs[0],rvecs[1],rvecs[2],tvecs[0],tvecs[1],tvecs[2]
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,17,42.373000144958496,44,-38.183509897885287,1.1603699888496575,2.3325562907877124,-1.3982834006605755,1.4242193672392987,48.99215531307739
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,17,42.598000049591064,48,-38.312010072292871,4.2613435909762716,2.5219801352000943,-1.4686607873316972,1.4240113170240978,49.730653082851795
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,17,42.82800006866455,56,-36.986898777410119,6.0333825202767564,3.0991399740943857,-1.4829426318373884,1.4419861753770968,51.359867602193383
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,17,43.04200005531311,62,-37.681108384703784,4.9409158325022418,2.572146987131458,-1.5391598784317952,1.457288830727129,49.845491044879871
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,17,43.2720000743866,68,-38.093871366491449,7.354039257859637,2.932993058606765,-1.5151422092123781,1.4787610795364718,50.853391751226468
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,17,43.61400008201599,74,0.0,0.0,0.0,0.0,0.0,0.0
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,17,43.81100010871887,80,0.0,0.0,0.0,0.0,0.0,0.0
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,17,43.98800015449524,86,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,17,44.16700005531311,92,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,18,44.46799993515015,44,-40.417874119116952,8.392253933297658,3.1508911275164175,-1.5293025899122534,1.4573990990540369,50.886508590112108
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,18,44.68999981880188,48,-38.25554825440598,2.8942170767931681,2.4266694952022538,-1.4701315944997619,1.4563922394677622,49.170603028117291
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,18,44.918999910354614,56,-37.886992405848666,3.4036898144349417,2.8723393108527588,-1.4833626208286492,1.4086285365087754,49.958592466590552
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,18,45.150999784469604,62,-38.189293283574337,2.3472665736100349,1.6963294254284147,-1.6054219236401126,1.3398884217389484,50.638088693219515
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,18,45.376999855041504,68,0.0,0.0,0.0,0.0,0.0,0.0
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,18,45.550999879837036,74,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,18,45.73599982261658,80,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,18,45.91199994087219,86,0.0,0.0,0.0,0.0,0.0,0.0
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,18,46.09299993515015,92,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,19,44.34500002861023,44,-39.463292196818941,3.2950431005968799,2.4628572323593159,-1.485491218926478,1.4036507665008759,49.287935725511133
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,19,44.58800005912781,48,-37.276114235871127,2.1746815078393733,1.7170724213566415,-1.4099228411968798,1.4511102630329091,49.294524711637024
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,19,44.81100010871887,56,-38.463382653865395,7.5909871343962569,3.130016265051661,-1.5061025894816809,1.4532555206828146,51.38210012466206
